WKT,name,description
"POINT (-86.9440189 40.4375131)",Point 3,
"POINT (-86.9437583 40.4376938)",Point 4,
"POINT (-86.9437592 40.4379727)",Point 5,
"POINT (-86.943786 40.438345)",Point 6,
"POINT (-86.9438704 40.4383763)",Point 7,
"POINT (-86.9439615 40.438335)",Point 8,
"POINT (-86.9439797 40.4382007)",Point 9,
"POINT (-86.944148 40.4380869)",Point 10,
"POINT (-86.94409 40.4380019)",Point 11,
"POINT (-86.9440565 40.4381499)",Point 12,
"POINT (-86.9440236 40.437905)",Point 13,
"POINT (-86.9440907 40.4378421)",Point 14,
"POINT (-86.9442517 40.4378457)",Point 15,
"POINT (-86.9443717 40.437912)",Point 16,
"POINT (-86.9444388 40.4380482)",Point 17,
"POINT (-86.944369 40.4383176)",Point 18,
"POINT (-86.9444884 40.4383867)",Point 19,
"POINT (-86.944694 40.4383714)",Point 20,
"POINT (-86.9447535 40.4382641)",Point 21,
"POINT (-86.9446576 40.4380895)",Point 22,
"POINT (-86.944758 40.4380066)",Point 23,
"POINT (-86.9448594 40.4379541)",Point 24,
"POINT (-86.9448473 40.4378816)",Point 25,
"POINT (-86.9445925 40.4377607)",Point 26,
